date,team,R32,R16,QF,SF,F,champion
2026-06-18,France,0.9918,0.6498,0.3844,0.2204,0.1168,0.0612
2026-06-18,Portugal,0.865,0.5688,0.3348,0.183,0.1014,0.0558
2026-06-18,Morocco,0.9054,0.5324,0.3342,0.1894,0.0992,0.0518
2026-06-18,Colombia,0.857,0.5714,0.3318,0.1734,0.0918,0.0454
2026-06-18,Japan,0.8892,0.4768,0.3018,0.1686,0.0886,0.044
2026-06-18,Germany,0.9954,0.6192,0.3222,0.1724,0.0854,0.0372
2026-06-18,Australia,0.972,0.5846,0.2786,0.1358,0.0668,0.0308
2026-06-18,Netherlands,0.8644,0.4282,0.2496,0.1252,0.0596,0.0264
2026-06-18,Belgium,0.7984,0.4786,0.2404,0.1132,0.0568,0.0238
2026-06-18,Mexico,0.9864,0.6146,0.2938,0.1252,0.0506,0.0216
2026-06-18,Uruguay,0.7492,0.344,0.1746,0.0914,0.0422,0.0168
2026-06-18,Norway,0.9724,0.5258,0.2396,0.1032,0.0428,0.0152
2026-06-18,United States,0.981,0.58,0.2632,0.0992,0.0402,0.0146
2026-06-18,Ecuador,0.7076,0.3596,0.179,0.0798,0.0316,0.0142
2026-06-18,Canada,0.882,0.5022,0.2426,0.0892,0.0348,0.0142
2026-06-18,Iran,0.695,0.386,0.1708,0.0762,0.0366,0.013
2026-06-18,South Korea,0.9508,0.5354,0.2112,0.0846,0.0316,0.0126
2026-06-18,Switzerland,0.8056,0.4188,0.1802,0.0718,0.0314,0.0122
2026-06-18,Croatia,0.8102,0.3604,0.1586,0.0682,0.0258,0.011
2026-06-18,Algeria,0.5508,0.2396,0.1144,0.0526,0.0212,0.0104
2026-06-18,Austria,0.922,0.3746,0.1688,0.0726,0.025,0.0092
2026-06-18,Senegal,0.5476,0.256,0.1144,0.0452,0.017,0.0074
2026-06-18,Ivory Coast,0.963,0.4242,0.167,0.072,0.026,0.0072
2026-06-18,Uzbekistan,0.5288,0.231,0.0894,0.033,0.0114,0.0042
2026-06-18,Egypt,0.6094,0.2472,0.0912,0.032,0.013,0.003
2026-06-18,Sweden,0.9174,0.2898,0.1044,0.034,0.009,0.0022
2026-06-18,Scotland,0.7806,0.2526,0.0902,0.0294,0.0068,0.0016
2026-06-18,New Zealand,0.5376,0.2114,0.065,0.0204,0.005,0.0014
2026-06-18,DR Congo,0.3918,0.1412,0.0466,0.015,0.0062,0.0014
2026-06-18,Tunisia,0.1498,0.048,0.0162,0.0064,0.0028,0.0012
2026-06-18,Paraguay,0.2972,0.0998,0.0342,0.0112,0.0034,0.001
2026-06-18,Saudi Arabia,0.5166,0.1164,0.0366,0.0104,0.002,0.001
2026-06-18,Turkey,0.3722,0.1296,0.0378,0.0114,0.0032,0.001
2026-06-18,Czech Republic,0.3828,0.139,0.042,0.0094,0.0024,0.0008
2026-06-18,Ghana,0.3784,0.0912,0.0232,0.0068,0.0014,0.0004
2026-06-18,Haiti,0.112,0.025,0.0088,0.0022,0.0006,0.0004
2026-06-18,Panama,0.4742,0.1292,0.0378,0.0104,0.0018,0.0004
2026-06-18,Cape Verde,0.4566,0.0924,0.0252,0.0082,0.0024,0.0004
2026-06-18,South Africa,0.291,0.0936,0.0238,0.0066,0.0016,0.0002
2026-06-18,Qatar,0.5222,0.1208,0.022,0.003,0.0006,0.0002
2026-06-18,Iraq,0.1476,0.042,0.0114,0.0014,0.0002,0.0002
2026-06-18,Bosnia and Herzegovina,0.4528,0.1028,0.0176,0.0032,0.0,0.0
2026-06-18,Curaçao,0.077,0.013,0.002,0.0002,0.0,0.0
2026-06-18,Jordan,0.1484,0.044,0.0156,0.0042,0.001,0.0
